frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
304,0.4075,,flow,0.2076,0.9710,
305,0.4003,,flow,0.1959,0.9694,
306,0.4080,,flow,0.1951,0.9659,
307,0.4125,,flow,0.1956,0.9647,
308,0.4050,,flow,0.1956,0.9614,
309,0.3988,,flow,0.1956,0.9596,
310,0.4076,,flow,0.1955,0.9567,
311,0.3979,,flow,0.1952,0.9556,
312,0.3958,,flow,0.1951,0.9520,
313,0.4017,,model,0.3998,1.0000,
314,0.3961,,flow,0.1957,0.9861,
315,0.4098,,flow,0.1951,0.9803,
316,0.3993,,flow,0.1953,0.9775,
317,0.3990,,flow,0.1951,0.9757,
318,0.4126,,flow,0.1956,0.9726,
319,0.4075,,flow,0.1953,0.9716,
320,0.3996,,flow,0.1951,0.9690,
321,0.4002,,flow,0.2037,0.9599,
322,0.4069,,flow,0.2037,0.9584,
323,0.4122,,flow,0.2042,0.9577,
324,0.4122,,model,0.4082,1.0000,
325,0.4090,,flow,0.2043,0.9978,
326,0.3984,,flow,0.2042,0.9840,
327,0.3969,,flow,0.2037,0.9786,
328,0.4004,,flow,0.2037,0.9726,
329,0.4025,,flow,0.2037,0.9697,
330,0.3987,,flow,0.2040,0.9655,
331,0.4074,,flow,0.2039,0.9634,
332,0.3988,,flow,0.2039,0.9607,
333,0.4002,,model,0.4025,1.0000,
334,0.3969,,flow,0.2038,0.9827,
335,0.3986,,flow,0.2042,0.9616,
336,0.4001,,model,0.4087,1.0000,
337,0.3994,,flow,0.2110,0.9776,
338,0.4062,,flow,0.2113,0.9641,
339,0.4002,,flow,0.2111,0.9571,
340,0.4004,,flow,0.2111,0.9520,
341,0.4118,,flow,0.2113,0.9503,
342,0.3994,,model,0.3988,1.0000,
343,0.4103,,flow,0.2112,0.9796,
344,0.4053,,flow,0.2116,0.9705,
345,0.4095,,flow,0.2114,0.9659,
346,0.3988,,flow,0.2116,0.9605,
347,0.4127,,flow,0.2113,0.9570,
348,0.4089,,flow,0.2112,0.9518,
349,0.4074,,model,0.4126,1.0000,
350,0.3988,,flow,0.2116,0.9749,
351,0.4117,,flow,0.2115,0.9682,
352,0.4125,,flow,0.2112,0.9534,
353,0.4127,,flow,0.2034,0.9515,
354,0.3988,,model,0.3996,1.0000,
355,0.4039,,flow,0.2032,0.9860,
356,0.4088,,flow,0.2032,0.9805,
357,0.3987,,flow,0.2037,0.9697,
358,0.4004,,flow,0.2036,0.9649,
359,0.3971,,flow,0.2032,0.9633,
360,0.3983,,flow,0.2034,0.9580,
361,0.3987,,flow,0.2033,0.9571,
362,0.4103,,flow,0.2032,0.9519,
363,0.4090,,flow,0.2032,0.9512,
364,0.3998,,model,0.4104,1.0000,
365,0.4043,,flow,0.2032,0.9972,
366,0.4004,,flow,0.2036,0.9866,
367,0.4086,,flow,0.2037,0.9847,
368,0.4181,,flow,0.2038,0.9793,
369,0.3980,,flow,0.1988,0.9740,
370,0.4047,,flow,0.1990,0.9643,
371,0.4100,,flow,0.1994,0.9585,
372,0.3975,,flow,0.1989,0.9554,
373,0.4103,,flow,0.1993,0.9535,
374,0.3985,,flow,0.1993,0.9509,
375,0.4284,,model,0.4186,1.0000,
376,0.4143,,flow,0.1995,0.9734,
377,0.4089,,flow,0.1990,0.9634,
378,0.4063,,flow,0.1994,0.9597,
379,0.3973,,flow,0.1993,0.9574,
380,0.4061,,flow,0.1989,0.9549,
381,0.3976,,flow,0.1995,0.9526,
382,0.4109,,model,0.3991,1.0000,
383,0.4008,,flow,0.1990,0.9760,
384,0.3993,,flow,0.1989,0.9685,
385,0.4087,,flow,0.1951,0.9662,
386,0.4072,,flow,0.1952,0.9631,
387,0.3977,,flow,0.1957,0.9572,
388,0.4065,,flow,0.1953,0.9541,
389,0.4078,,flow,0.1958,0.9523,
390,0.4072,,model,0.4082,1.0000,
391,0.4071,,flow,0.1957,0.9752,
392,0.4115,,flow,0.1952,0.9640,
393,0.4032,,flow,0.1952,0.9604,
394,0.3999,,model,0.3990,1.0000,
395,0.4103,,flow,0.1953,0.9806,
396,0.4102,,flow,0.1957,0.9708,
397,0.4101,,flow,0.1957,0.9696,
398,0.4014,,model,0.4090,1.0000,
399,0.4072,,flow,0.1957,0.9912,
400,0.4046,0.7336,flow,0.1957,0.9663,0.7186
401,0.4011,,flow,0.1933,0.9554,
402,0.4093,,model,0.4035,1.0000,
403,0.3992,,flow,0.1931,0.9868,
404,0.3999,,flow,0.1931,0.9571,
405,0.3976,,flow,0.1932,0.9551,
406,0.4103,,flow,0.1938,0.9510,
407,0.3977,,model,0.4075,1.0000,
408,0.3986,,flow,0.1936,0.9561,
409,0.4102,,flow,0.1931,0.9548,
410,0.4008,,model,0.3985,1.0000,
411,0.3972,,flow,0.1932,0.9877,
412,0.4102,,flow,0.1936,0.9815,
413,0.3986,,flow,0.1936,0.9727,
414,0.4114,,flow,0.1931,0.9585,
415,0.3987,,flow,0.1931,0.9573,
416,0.4107,,model,0.4086,1.0000,
417,0.4205,,flow,0.1925,0.9931,
418,0.4212,,flow,0.1930,0.9683,
419,0.4132,,flow,0.1929,0.9638,
420,0.4044,,flow,0.1923,0.9569,
421,0.3998,,flow,0.1928,0.9518,
422,0.3984,,model,0.3953,1.0000,
423,0.4099,,flow,0.1923,0.9862,
424,0.4090,,flow,0.1924,0.9669,
425,0.4080,,flow,0.1924,0.9634,
426,0.4007,,flow,0.1928,0.9569,
427,0.4095,,flow,0.1924,0.9540,
428,0.4081,,flow,0.1928,0.9513,
429,0.4034,,model,0.4106,1.0000,
430,0.4065,,flow,0.1928,0.9757,
431,0.3981,,flow,0.1928,0.9592,
432,0.4111,,model,0.4079,1.0000,
433,0.4098,,flow,0.2112,0.9911,
434,0.3989,,flow,0.2112,0.9794,
435,0.3954,,flow,0.2117,0.9784,
436,0.4108,,flow,0.2112,0.9669,
437,0.4080,,flow,0.2117,0.9660,
438,0.4073,,flow,0.2112,0.9598,
439,0.4093,,flow,0.2117,0.9575,
440,0.4074,,flow,0.2117,0.9535,
441,0.4057,,flow,0.2113,0.9522,
442,0.4079,,model,0.4034,1.0000,
443,0.4076,,flow,0.2118,0.9976,
444,0.3979,,flow,0.2112,0.9836,
445,0.4082,,flow,0.2113,0.9779,
446,0.4033,,flow,0.2113,0.9738,
447,0.3946,,flow,0.2117,0.9731,
